EstudianteID,Nombre,FechaIngreso,Genero,Ciudad,anio
38,Estudiante_38,2021-12-08,m,Santa Cruz de la Sierra,2021
39,Estudiante_39,2021-07-17,f,Cochabamba,2021
40,Estudiante_40,2020-09-25,f,Sucre,2020
41,Estudiante_41,2020-04-17,m,Santa Cruz de la Sierra,2020
42,Estudiante_42,2021-08-30,f,Santa Cruz de la Sierra,2021
43,Estudiante_43,2021-10-25,m,Cochabamba,2021
44,Estudiante_44,2023-05-27,m,Sucre,2023
45,Estudiante_45,2022-01-17,f,Santa Cruz de la Sierra,2022
46,Estudiante_46,2020-03-24,f,Cochabamba,2020
47,Estudiante_47,2020-02-29,f,Santa Cruz de la Sierra,2020
48,Estudiante_48,2020-11-13,m,Cochabamba,2020
49,Estudiante_49,2021-11-09,f,Santa Cruz de la Sierra,2021
50,Estudiante_50,2022-01-10,m,Sucre,2022
51,Estudiante_51,2023-10-27,m,Santa Cruz de la Sierra,2023
52,Estudiante_52,2023-06-09,f,Cochabamba,2023
53,Estudiante_53,2023-04-13,m,Cochabamba,2023
54,Estudiante_54,2023-06-21,f,La Paz,2023
55,Estudiante_55,2022-08-04,f,Santa Cruz de la Sierra,2022
56,Estudiante_56,2023-05-28,f,Sucre,2023
57,Estudiante_57,2020-03-14,f,Cochabamba,2020
58,Estudiante_58,2021-06-30,f,Santa Cruz de la Sierra,2021
59,Estudiante_59,2020-04-10,f,Cochabamba,2020
60,Estudiante_60,2021-08-26,m,Santa Cruz de la Sierra,2021
61,Estudiante_61,2020-07-07,m,La Paz,2020
62,Estudiante_62,2021-11-14,f,La Paz,2021
63,Estudiante_63,2020-07-06,m,Cochabamba,2020
64,Estudiante_64,2022-07-30,f,Cochabamba,2022
65,Estudiante_65,2022-10-27,f,La Paz,2022
66,Estudiante_66,2020-02-03,m,La Paz,2020
67,Estudiante_67,2021-01-23,f,Cochabamba,2021
68,Estudiante_68,2020-04-05,f,La Paz,2020
69,Estudiante_69,2020-03-19,f,Santa Cruz de la Sierra,2020
70,Estudiante_70,2023-03-09,f,La Paz,2023
71,Estudiante_71,2023-08-07,m,La Paz,2023
72,Estudiante_72,2021-09-16,m,La Paz,2021
73,Estudiante_73,2020-09-21,m,Sucre,2020
74,Estudiante_74,2021-07-18,f,Santa Cruz de la Sierra,2021
75,Estudiante_75,2021-03-12,f,La Paz,2021
76,Estudiante_76,2023-12-23,m,Sucre,2023
77,Estudiante_77,2022-07-03,m,Santa Cruz de la Sierra,2022
78,Estudiante_78,2021-02-24,m,Cochabamba,2021
79,Estudiante_79,2021-10-02,f,Santa Cruz de la Sierra,2021
80,Estudiante_80,2022-10-25,f,La Paz,2022
81,Estudiante_81,2023-09-21,f,Cochabamba,2023
82,Estudiante_82,2023-08-31,m,Cochabamba,2023
83,Estudiante_83,2022-05-31,f,Santa Cruz de la Sierra,2022
84,Estudiante_84,2020-03-21,f,Santa Cruz de la Sierra,2020
85,Estudiante_85,2020-01-21,f,La Paz,2020
86,Estudiante_86,2023-03-02,f,Sucre,2023
87,Estudiante_87,2023-04-03,m,Santa Cruz de la Sierra,2023
88,Estudiante_88,2021-01-04,m,Santa Cruz de la Sierra,2021
89,Estudiante_89,2022-04-16,m,La Paz,2022
90,Estudiante_90,2021-05-03,f,Cochabamba,2021
91,Estudiante_91,2020-08-26,f,Santa Cruz de la Sierra,2020
92,Estudiante_92,2020-10-13,m,Cochabamba,2020
93,Estudiante_93,2023-11-25,f,Tarija,2023
94,Estudiante_94,2021-06-10,f,La Paz,2021
95,Estudiante_95,2021-09-02,m,Santa Cruz de la Sierra,2021
96,Estudiante_96,2022-10-12,m,Santa Cruz de la Sierra,2022
97,Estudiante_97,2020-05-31,f,Cochabamba,2020
98,Estudiante_98,2020-08-27,f,Santa Cruz de la Sierra,2020
99,Estudiante_99,2023-05-19,f,Cochabamba,2023
100,Estudiante_100,2021-08-29,m,Santa Cruz de la Sierra,2021
101,Estudiante_101,2020-09-03,f,La Paz,2020
102,Estudiante_102,2021-04-04,m,Santa Cruz de la Sierra,2021
103,Estudiante_103,2023-10-13,f,Santa Cruz de la Sierra,2023
104,Estudiante_104,2022-02-28,m,Tarija,2022
105,Estudiante_105,2020-06-14,m,Santa Cruz de la Sierra,2020
106,Estudiante_106,2022-11-28,m,Cochabamba,2022
107,Estudiante_107,2020-10-22,m,Santa Cruz de la Sierra,2020
108,Estudiante_108,2020-06-15,m,Tarija,2020
109,Estudiante_109,2023-11-26,f,Santa Cruz de la Sierra,2023
110,Estudiante_110,2020-10-22,f,Cochabamba,2020
111,Estudiante_111,2023-09-11,f,Santa Cruz de la Sierra,2023
112,Estudiante_112,2023-12-20,m,Tarija,2023
113,Estudiante_113,2022-04-02,f,La Paz,2022
114,Estudiante_114,2023-04-15,f,Tarija,2023
115,Estudiante_115,2022-07-23,f,Cochabamba,2022
116,Estudiante_116,2022-07-31,f,Sucre,2022
117,Estudiante_117,2022-03-03,f,La Paz,2022
118,Estudiante_118,2022-02-27,m,Tarija,2022
119,Estudiante_119,2022-05-23,f,Santa Cruz de la Sierra,2022
120,Estudiante_120,2020-05-26,f,Cochabamba,2020
121,Estudiante_121,2021-07-24,f,La Paz,2021
122,Estudiante_122,2022-09-26,m,Santa Cruz de la Sierra,2022
123,Estudiante_123,2022-07-31,f,Cochabamba,2022
124,Estudiante_124,2023-07-28,f,La Paz,2023
125,Estudiante_125,2020-05-29,m,Sucre,2020
126,Estudiante_126,2023-10-13,m,La Paz,2023
127,Estudiante_127,2022-03-30,f,Tarija,2022
128,Estudiante_128,2020-01-30,m,La Paz,2020
129,Estudiante_129,2023-05-06,f,Cochabamba,2023
130,Estudiante_130,2020-07-05,m,Santa Cruz de la Sierra,2020
131,Estudiante_131,2022-10-11,f,Santa Cruz de la Sierra,2022
132,Estudiante_132,2022-12-07,f,Santa Cruz de la Sierra,2022
133,Estudiante_133,2022-06-11,m,La Paz,2022
134,Estudiante_134,2023-06-05,f,Santa Cruz de la Sierra,2023
135,Estudiante_135,2020-02-12,m,Santa Cruz de la Sierra,2020
136,Estudiante_136,2023-09-20,m,La Paz,2023
137,Estudiante_137,2021-10-23,f,La Paz,2021
138,Estudiante_138,2022-12-03,m,Sucre,2022
139,Estudiante_139,2020-10-14,f,Santa Cruz de la Sierra,2020
140,Estudiante_140,2022-02-18,m,La Paz,2022
141,Estudiante_141,2021-02-15,m,La Paz,2021
142,Estudiante_142,2021-12-22,f,Sucre,2021
143,Estudiante_143,2021-12-17,m,La Paz,2021
144,Estudiante_144,2022-08-25,f,Cochabamba,2022
145,Estudiante_145,2023-07-15,m,Santa Cruz de la Sierra,2023
146,Estudiante_146,2020-02-03,f,La Paz,2020
147,Estudiante_147,2022-04-26,m,Cochabamba,2022
148,Estudiante_148,2020-11-05,m,Tarija,2020
149,Estudiante_149,2023-08-24,m,Santa Cruz de la Sierra,2023
150,Estudiante_150,2023-01-10,f,Santa Cruz de la Sierra,2023
151,Estudiante_151,2021-03-13,f,Santa Cruz de la Sierra,2021
152,Estudiante_152,2021-01-16,m,Santa Cruz de la Sierra,2021
153,Estudiante_153,2020-07-01,f,Santa Cruz de la Sierra,2020
154,Estudiante_154,2021-11-09,f,Sucre,2021
155,Estudiante_155,2022-10-05,m,Santa Cruz de la Sierra,2022
156,Estudiante_156,2022-03-27,f,Sucre,2022
157,Estudiante_157,2022-02-23,f,La Paz,2022
158,Estudiante_158,2023-07-20,m,Santa Cruz de la Sierra,2023
159,Estudiante_159,2022-07-21,f,Sucre,2022
160,Estudiante_160,2023-09-11,f,Cochabamba,2023
161,Estudiante_161,2021-06-29,m,Santa Cruz de la Sierra,2021
162,Estudiante_162,2021-12-30,m,Santa Cruz de la Sierra,2021
163,Estudiante_163,2023-05-06,f,La Paz,2023
164,Estudiante_164,2020-03-13,f,La Paz,2020
165,Estudiante_165,2020-10-27,f,Sucre,2020
166,Estudiante_166,2020-10-11,f,Sucre,2020
167,Estudiante_167,2021-11-02,m,Santa Cruz de la Sierra,2021
168,Estudiante_168,2023-06-03,m,Sucre,2023
169,Estudiante_169,2022-01-25,f,La Paz,2022
170,Estudiante_170,2020-12-28,f,La Paz,2020
171,Estudiante_171,2022-09-28,f,Santa Cruz de la Sierra,2022
172,Estudiante_172,2021-11-19,f,Cochabamba,2021
173,Estudiante_173,2023-04-09,f,La Paz,2023
174,Estudiante_174,2023-03-18,m,La Paz,2023
175,Estudiante_175,2020-02-02,f,Santa Cruz de la Sierra,2020
176,Estudiante_176,2020-05-12,m,Santa Cruz de la Sierra,2020
177,Estudiante_177,2021-10-21,f,Santa Cruz de la Sierra,2021
178,Estudiante_178,2021-02-23,m,La Paz,2021
179,Estudiante_179,2020-06-22,m,La Paz,2020
180,Estudiante_180,2020-02-07,m,Sucre,2020
181,Estudiante_181,2022-11-14,f,La Paz,2022
182,Estudiante_182,2021-01-23,f,Sucre,2021
183,Estudiante_183,2021-10-28,f,La Paz,2021
184,Estudiante_184,2023-01-02,f,Santa Cruz de la Sierra,2023
185,Estudiante_185,2022-12-16,f,Santa Cruz de la Sierra,2022
186,Estudiante_186,2020-04-04,m,Santa Cruz de la Sierra,2020
187,Estudiante_187,2020-04-16,f,Santa Cruz de la Sierra,2020
188,Estudiante_188,2022-04-29,m,La Paz,2022
189,Estudiante_189,2022-05-28,m,Santa Cruz de la Sierra,2022
190,Estudiante_190,2021-09-21,m,Santa Cruz de la Sierra,2021
191,Estudiante_191,2020-03-12,f,Santa Cruz de la Sierra,2020
192,Estudiante_192,2022-08-14,f,Santa Cruz de la Sierra,2022
193,Estudiante_193,2023-07-18,m,Cochabamba,2023
194,Estudiante_194,2020-06-28,f,La Paz,2020
195,Estudiante_195,2020-02-10,f,Sucre,2020
196,Estudiante_196,2020-09-08,f,Cochabamba,2020
197,Estudiante_197,2023-07-14,f,Cochabamba,2023
198,Estudiante_198,2022-11-20,f,Santa Cruz de la Sierra,2022
199,Estudiante_199,2021-10-01,m,Santa Cruz de la Sierra,2021
200,Estudiante_200,2021-10-08,m,Sucre,2021
201,Estudiante_201,2022-03-22,m,Santa Cruz de la Sierra,2022
202,Estudiante_202,2023-12-08,m,La Paz,2023
203,Estudiante_203,2023-05-18,f,Santa Cruz de la Sierra,2023
204,Estudiante_204,2021-09-05,m,Santa Cruz de la Sierra,2021
205,Estudiante_205,2021-05-11,m,Santa Cruz de la Sierra,2021
206,Estudiante_206,2021-01-06,f,La Paz,2021
207,Estudiante_207,2023-09-28,f,Tarija,2023
208,Estudiante_208,2021-09-05,m,Cochabamba,2021
209,Estudiante_209,2022-02-22,f,La Paz,2022
210,Estudiante_210,2022-04-26,f,Sucre,2022
211,Estudiante_211,2022-11-02,f,La Paz,2022
212,Estudiante_212,2020-09-17,f,Tarija,2020
213,Estudiante_213,2023-08-31,f,Santa Cruz de la Sierra,2023
214,Estudiante_214,2021-06-11,m,La Paz,2021
215,Estudiante_215,2020-03-12,f,Santa Cruz de la Sierra,2020
216,Estudiante_216,2023-09-04,f,Santa Cruz de la Sierra,2023
217,Estudiante_217,2023-07-01,m,Santa Cruz de la Sierra,2023
218,Estudiante_218,2022-09-22,f,La Paz,2022
219,Estudiante_219,2023-12-27,f,Cochabamba,2023
220,Estudiante_220,2021-12-17,f,La Paz,2021
221,Estudiante_221,2021-06-18,m,Santa Cruz de la Sierra,2021
222,Estudiante_222,2023-03-10,m,Santa Cruz de la Sierra,2023
223,Estudiante_223,2021-08-26,f,Santa Cruz de la Sierra,2021
224,Estudiante_224,2022-02-20,f,La Paz,2022
225,Estudiante_225,2021-10-08,m,La Paz,2021
226,Estudiante_226,2021-08-07,m,Cochabamba,2021
227,Estudiante_227,2021-05-15,m,Santa Cruz de la Sierra,2021
228,Estudiante_228,2021-05-17,m,La Paz,2021
229,Estudiante_229,2023-08-01,f,Santa Cruz de la Sierra,2023
230,Estudiante_230,2023-10-28,f,Santa Cruz de la Sierra,2023
231,Estudiante_231,2020-07-10,m,Sucre,2020
232,Estudiante_232,2022-08-01,m,Santa Cruz de la Sierra,2022
233,Estudiante_233,2020-04-28,m,Santa Cruz de la Sierra,2020
234,Estudiante_234,2022-08-27,f,La Paz,2022
235,Estudiante_235,2021-08-18,m,Santa Cruz de la Sierra,2021
236,Estudiante_236,2022-09-20,f,La Paz,2022
237,Estudiante_237,2021-09-27,f,Cochabamba,2021
238,Estudiante_238,2023-08-10,f,Cochabamba,2023
239,Estudiante_239,2021-10-28,m,La Paz,2021
240,Estudiante_240,2021-11-05,m,Santa Cruz de la Sierra,2021
241,Estudiante_241,2021-11-05,m,La Paz,2021
242,Estudiante_242,2020-01-13,m,La Paz,2020
243,Estudiante_243,2021-06-21,f,Tarija,2021
244,Estudiante_244,2023-07-20,m,Sucre,2023
245,Estudiante_245,2020-12-07,f,Cochabamba,2020
246,Estudiante_246,2022-05-09,f,Santa Cruz de la Sierra,2022
247,Estudiante_247,2020-03-20,f,Cochabamba,2020
248,Estudiante_248,2022-10-03,f,Sucre,2022
249,Estudiante_249,2021-02-14,f,La Paz,2021
250,Estudiante_250,2023-12-24,f,La Paz,2023
251,Estudiante_251,2023-07-19,f,Santa Cruz de la Sierra,2023
252,Estudiante_252,2020-11-23,m,Cochabamba,2020
253,Estudiante_253,2020-09-22,f,Cochabamba,2020
254,Estudiante_254,2021-06-16,f,La Paz,2021
255,Estudiante_255,2023-02-07,f,Cochabamba,2023
256,Estudiante_256,2021-04-28,f,Santa Cruz de la Sierra,2021
257,Estudiante_257,2023-08-16,m,Cochabamba,2023
258,Estudiante_258,2021-02-16,f,La Paz,2021
259,Estudiante_259,2020-10-25,m,Santa Cruz de la Sierra,2020
260,Estudiante_260,2022-07-26,f,Santa Cruz de la Sierra,2022
261,Estudiante_261,2022-06-18,m,Tarija,2022
262,Estudiante_262,2023-05-09,m,La Paz,2023
263,Estudiante_263,2023-07-30,f,Tarija,2023
264,Estudiante_264,2021-09-17,m,Sucre,2021
265,Estudiante_265,2020-11-02,f,Cochabamba,2020
266,Estudiante_266,2020-12-01,m,Tarija,2020
267,Estudiante_267,2022-05-04,f,Sucre,2022
268,Estudiante_268,2022-02-03,f,Santa Cruz de la Sierra,2022
269,Estudiante_269,2021-07-29,f,Sucre,2021
270,Estudiante_270,2022-02-07,f,Santa Cruz de la Sierra,2022
271,Estudiante_271,2023-10-17,m,Santa Cruz de la Sierra,2023
272,Estudiante_272,2022-12-24,f,Tarija,2022
273,Estudiante_273,2021-02-07,f,Santa Cruz de la Sierra,2021
274,Estudiante_274,2020-07-11,m,Cochabamba,2020
275,Estudiante_275,2023-11-19,f,Santa Cruz de la Sierra,2023
276,Estudiante_276,2022-10-16,m,Sucre,2022
277,Estudiante_277,2021-05-27,m,La Paz,2021
278,Estudiante_278,2021-03-11,f,La Paz,2021
279,Estudiante_279,2023-08-02,m,La Paz,2023
280,Estudiante_280,2020-10-27,f,Tarija,2020
281,Estudiante_281,2021-11-16,f,La Paz,2021
282,Estudiante_282,2022-05-31,m,Santa Cruz de la Sierra,2022
283,Estudiante_283,2023-12-14,m,Santa Cruz de la Sierra,2023
284,Estudiante_284,2022-05-28,m,Cochabamba,2022
285,Estudiante_285,2023-09-19,m,La Paz,2023
286,Estudiante_286,2020-08-25,f,La Paz,2020
287,Estudiante_287,2021-04-09,f,La Paz,2021
288,Estudiante_288,2021-02-22,m,Santa Cruz de la Sierra,2021
289,Estudiante_289,2023-07-28,m,Santa Cruz de la Sierra,2023
290,Estudiante_290,2022-07-04,m,Santa Cruz de la Sierra,2022
291,Estudiante_291,2020-02-05,m,La Paz,2020
292,Estudiante_292,2020-03-07,f,La Paz,2020
293,Estudiante_293,2021-02-13,f,Cochabamba,2021
294,Estudiante_294,2022-08-01,f,La Paz,2022
295,Estudiante_295,2022-01-18,m,Tarija,2022
296,Estudiante_296,2023-12-24,m,La Paz,2023
297,Estudiante_297,2020-08-03,f,Santa Cruz de la Sierra,2020
298,Estudiante_298,2022-10-27,f,Sucre,2022
299,Estudiante_299,2021-09-13,m,Cochabamba,2021
300,Estudiante_300,2023-06-26,f,Santa Cruz de la Sierra,2023
301,Estudiante_301,2023-01-11,m,Santa Cruz de la Sierra,2023
302,Estudiante_302,2021-04-27,f,La Paz,2021
303,Estudiante_303,2020-05-06,f,Sucre,2020
304,Estudiante_304,2023-05-10,f,Cochabamba,2023
305,Estudiante_305,2021-05-01,m,La Paz,2021
306,Estudiante_306,2023-02-25,m,Santa Cruz de la Sierra,2023
307,Estudiante_307,2020-02-21,m,Santa Cruz de la Sierra,2020
308,Estudiante_308,2023-02-16,f,La Paz,2023
309,Estudiante_309,2020-09-18,f,Sucre,2020
310,Estudiante_310,2021-11-17,f,Cochabamba,2021
311,Estudiante_311,2020-10-14,m,Cochabamba,2020
312,Estudiante_312,2021-08-28,m,Cochabamba,2021
313,Estudiante_313,2023-03-17,f,La Paz,2023
314,Estudiante_314,2023-01-09,f,Cochabamba,2023
315,Estudiante_315,2020-07-04,f,La Paz,2020
316,Estudiante_316,2020-06-06,f,La Paz,2020
317,Estudiante_317,2021-11-07,m,Sucre,2021
318,Estudiante_318,2023-05-22,m,Cochabamba,2023
319,Estudiante_319,2022-07-26,f,Cochabamba,2022
320,Estudiante_320,2020-03-21,f,Cochabamba,2020
321,Estudiante_321,2023-05-21,m,La Paz,2023
322,Estudiante_322,2021-07-25,f,Cochabamba,2021
323,Estudiante_323,2022-07-30,f,Santa Cruz de la Sierra,2022
324,Estudiante_324,2020-10-05,m,Santa Cruz de la Sierra,2020
325,Estudiante_325,2020-11-16,f,La Paz,2020
326,Estudiante_326,2022-03-17,m,Cochabamba,2022
327,Estudiante_327,2023-12-27,f,Sucre,2023
328,Estudiante_328,2020-02-26,m,Santa Cruz de la Sierra,2020
329,Estudiante_329,2021-01-22,f,Cochabamba,2021
330,Estudiante_330,2021-04-14,m,Santa Cruz de la Sierra,2021
331,Estudiante_331,2022-08-08,m,Sucre,2022
332,Estudiante_332,2023-10-15,m,Tarija,2023
333,Estudiante_333,2023-10-17,m,Santa Cruz de la Sierra,2023
334,Estudiante_334,2022-06-11,m,Cochabamba,2022
335,Estudiante_335,2023-07-09,m,Santa Cruz de la Sierra,2023
336,Estudiante_336,2022-02-21,m,La Paz,2022
337,Estudiante_337,2020-02-02,f,Santa Cruz de la Sierra,2020
338,Estudiante_338,2021-07-05,m,Santa Cruz de la Sierra,2021
339,Estudiante_339,2022-02-21,m,Tarija,2022
340,Estudiante_340,2023-05-28,m,Santa Cruz de la Sierra,2023
342,Estudiante_342,2020-12-01,f,Cochabamba,2020
343,Estudiante_343,2023-04-16,m,Tarija,2023
344,Estudiante_344,2022-06-14,f,Cochabamba,2022
345,Estudiante_345,2020-06-06,m,La Paz,2020
346,Estudiante_346,2020-07-04,f,La Paz,2020
347,Estudiante_347,2020-10-23,m,La Paz,2020
348,Estudiante_348,2023-10-17,m,La Paz,2023
349,Estudiante_349,2021-04-16,f,Santa Cruz de la Sierra,2021
350,Estudiante_350,2020-02-20,f,La Paz,2020
351,Estudiante_351,2023-09-29,f,Santa Cruz de la Sierra,2023
352,Estudiante_352,2022-02-11,f,Santa Cruz de la Sierra,2022
353,Estudiante_353,2023-10-30,m,La Paz,2023
354,Estudiante_354,2020-08-14,m,Santa Cruz de la Sierra,2020
355,Estudiante_355,2022-12-22,m,Cochabamba,2022
356,Estudiante_356,2020-12-13,m,La Paz,2020
357,Estudiante_357,2023-05-23,f,La Paz,2023
358,Estudiante_358,2022-04-25,m,La Paz,2022
359,Estudiante_359,2021-03-17,f,Santa Cruz de la Sierra,2021
360,Estudiante_360,2023-07-26,f,Santa Cruz de la Sierra,2023
361,Estudiante_361,2023-04-12,f,Santa Cruz de la Sierra,2023
362,Estudiante_362,2020-02-12,f,La Paz,2020
363,Estudiante_363,2021-03-12,m,La Paz,2021
364,Estudiante_364,2020-01-02,f,La Paz,2020
365,Estudiante_365,2023-12-22,m,La Paz,2023
366,Estudiante_366,2022-08-15,f,La Paz,2022
367,Estudiante_367,2020-01-24,f,Santa Cruz de la Sierra,2020
368,Estudiante_368,2021-10-04,m,La Paz,2021
369,Estudiante_369,2023-06-03,m,Cochabamba,2023
370,Estudiante_370,2023-09-07,m,Santa Cruz de la Sierra,2023
371,Estudiante_371,2020-12-24,m,La Paz,2020
372,Estudiante_372,2021-10-18,f,Santa Cruz de la Sierra,2021
373,Estudiante_373,2021-02-22,f,La Paz,2021
374,Estudiante_374,2020-07-24,f,La Paz,2020
375,Estudiante_375,2021-10-29,f,Cochabamba,2021
376,Estudiante_376,2021-02-01,f,La Paz,2021
377,Estudiante_377,2020-07-24,m,Santa Cruz de la Sierra,2020
378,Estudiante_378,2023-01-01,m,Tarija,2023
379,Estudiante_379,2021-01-14,f,Santa Cruz de la Sierra,2021
380,Estudiante_380,2020-10-20,f,La Paz,2020
381,Estudiante_381,2021-05-08,f,Tarija,2021
382,Estudiante_382,2020-05-02,m,Cochabamba,2020
383,Estudiante_383,2020-11-28,m,La Paz,2020
384,Estudiante_384,2023-12-11,m,Santa Cruz de la Sierra,2023
385,Estudiante_385,2023-06-07,f,La Paz,2023
386,Estudiante_386,2021-03-06,f,Cochabamba,2021
387,Estudiante_387,2021-02-17,m,La Paz,2021
388,Estudiante_388,2020-07-22,f,Santa Cruz de la Sierra,2020
389,Estudiante_389,2022-12-24,m,Santa Cruz de la Sierra,2022
390,Estudiante_390,2020-06-21,m,Cochabamba,2020
391,Estudiante_391,2022-03-30,f,Santa Cruz de la Sierra,2022
392,Estudiante_392,2021-07-12,m,La Paz,2021
393,Estudiante_393,2023-10-04,f,Sucre,2023
394,Estudiante_394,2022-12-12,m,Santa Cruz de la Sierra,2022
395,Estudiante_395,2021-11-16,f,Cochabamba,2021
396,Estudiante_396,2022-02-12,f,La Paz,2022
397,Estudiante_397,2023-02-12,f,La Paz,2023
398,Estudiante_398,2023-02-23,f,Sucre,2023
399,Estudiante_399,2022-10-13,m,Sucre,2022
400,Estudiante_400,2020-09-22,f,La Paz,2020
401,Estudiante_401,2023-12-03,f,Santa Cruz de la Sierra,2023
402,Estudiante_402,2020-04-19,m,Santa Cruz de la Sierra,2020
403,Estudiante_403,2023-05-29,f,Santa Cruz de la Sierra,2023
404,Estudiante_404,2023-09-02,m,Santa Cruz de la Sierra,2023
405,Estudiante_405,2020-02-29,m,Cochabamba,2020
406,Estudiante_406,2021-05-30,f,La Paz,2021
407,Estudiante_407,2023-03-28,f,Sucre,2023
408,Estudiante_408,2022-05-29,m,Sucre,2022
409,Estudiante_409,2021-08-09,m,La Paz,2021
410,Estudiante_410,2023-10-10,m,Santa Cruz de la Sierra,2023
411,Estudiante_411,2022-10-05,f,Sucre,2022
412,Estudiante_412,2022-12-31,f,La Paz,2022
413,Estudiante_413,2022-06-15,f,La Paz,2022
414,Estudiante_414,2022-08-30,f,Cochabamba,2022
415,Estudiante_415,2022-03-10,m,La Paz,2022
416,Estudiante_416,2023-12-12,f,Santa Cruz de la Sierra,2023
417,Estudiante_417,2022-09-14,f,Santa Cruz de la Sierra,2022
418,Estudiante_418,2023-12-19,f,Cochabamba,2023
419,Estudiante_419,2023-12-03,f,La Paz,2023
420,Estudiante_420,2021-06-23,f,Santa Cruz de la Sierra,2021
421,Estudiante_421,2021-05-04,f,Cochabamba,2021
422,Estudiante_422,2020-10-27,m,Cochabamba,2020
423,Estudiante_423,2023-12-28,f,Cochabamba,2023
424,Estudiante_424,2022-02-01,f,La Paz,2022
425,Estudiante_425,2023-05-26,f,Sucre,2023
426,Estudiante_426,2023-11-07,m,La Paz,2023
427,Estudiante_427,2021-09-22,f,Santa Cruz de la Sierra,2021
428,Estudiante_428,2022-09-14,f,La Paz,2022
429,Estudiante_429,2021-04-18,f,La Paz,2021
430,Estudiante_430,2020-01-02,m,Sucre,2020
431,Estudiante_431,2023-08-26,f,La Paz,2023
432,Estudiante_432,2021-09-13,f,La Paz,2021
433,Estudiante_433,2022-10-13,f,La Paz,2022
434,Estudiante_434,2021-12-13,f,La Paz,2021
435,Estudiante_435,2021-10-06,f,Sucre,2021
436,Estudiante_436,2020-03-20,f,La Paz,2020
437,Estudiante_437,2020-07-16,f,La Paz,2020
438,Estudiante_438,2023-11-02,f,La Paz,2023
439,Estudiante_439,2022-11-28,m,Santa Cruz de la Sierra,2022
440,Estudiante_440,2020-06-25,m,La Paz,2020
441,Estudiante_441,2022-05-26,f,La Paz,2022
442,Estudiante_442,2022-09-28,f,Santa Cruz de la Sierra,2022
443,Estudiante_443,2023-12-03,f,La Paz,2023
444,Estudiante_444,2021-08-30,m,La Paz,2021
445,Estudiante_445,2023-08-28,m,Sucre,2023
446,Estudiante_446,2023-08-30,f,La Paz,2023
447,Estudiante_447,2020-09-26,m,Cochabamba,2020
448,Estudiante_448,2023-07-13,f,Santa Cruz de la Sierra,2023
449,Estudiante_449,2022-03-15,m,La Paz,2022
450,Estudiante_450,2021-09-23,m,Santa Cruz de la Sierra,2021
451,Estudiante_451,2021-03-15,m,Santa Cruz de la Sierra,2021
452,Estudiante_452,2020-03-21,f,Tarija,2020
453,Estudiante_453,2022-07-30,m,La Paz,2022
454,Estudiante_454,2023-11-24,m,Santa Cruz de la Sierra,2023
455,Estudiante_455,2021-02-27,m,Santa Cruz de la Sierra,2021
456,Estudiante_456,2020-09-16,f,Sucre,2020
457,Estudiante_457,2022-02-26,m,La Paz,2022
458,Estudiante_458,2022-01-23,m,Santa Cruz de la Sierra,2022
459,Estudiante_459,2022-10-10,f,Cochabamba,2022
